(0, 0) (4, 2) (6, 6) (2, 1) (1, 3)
(0, 0) (4, 2) (6, 6) (2, 1) (7, 3)
(0, 0) (4, 2) (6, 6) (2, 1) (1, 4)
(0, 0) (4, 2) (6, 6) (2, 1) (3, 4)
(0, 0) (4, 2) (6, 6) (2, 1) (5, 4)
(0, 0) (4, 2) (6, 6) (2, 1) (7, 4)
(0, 0) (4, 2) (6, 6) (2, 1) (1, 5)
(0, 0) (4, 2) (6, 6) (2, 1) (3, 5)
(0, 0) (4, 2) (6, 6) (2, 1) (1, 7)
(0, 0) (4, 2) (6, 6) (2, 1) (3, 7)
(0, 0) (4, 2) (6, 6) (7, 1) (1, 3)
(0, 0) (4, 2) (6, 6) (7, 1) (2, 3)
(0, 0) (4, 2) (6, 6) (7, 1) (1, 4)
(0, 0) (4, 2) (6, 6) (7, 1) (2, 4)
(0, 0) (4, 2) (6, 6) (7, 1) (3, 4)
(0, 0) (4, 2) (6, 6) (7, 1) (5, 4)
(0, 0) (4, 2) (6, 6) (7, 1) (1, 5)
(0, 0) (4, 2) (6, 6) (7, 1) (2, 5)
(0, 0) (4, 2) (6, 6) (7, 1) (3, 5)
(0, 0) (4, 2) (6, 6) (7, 1) (1, 7)
(0, 0) (4, 2) (6, 6) (7, 1) (2, 7)
(0, 0) (4, 2) (6, 6) (7, 1) (3, 7)
(0, 0) (4, 2) (6, 6) (1, 3) (3, 4)
(0, 0) (4, 2) (6, 6) (1, 3) (5, 4)
(0, 0) (4, 2) (6, 6) (1, 3) (7, 4)
(0, 0) (4, 2) (6, 6) (1, 3) (2, 5)
(0, 0) (4, 2) (6, 6) (1, 3) (3, 5)
(0, 0) (4, 2) (6, 6) (1, 3) (2, 7)
(0, 0) (4, 2) (6, 6) (1, 3) (3, 7)
(0, 0) (4, 2) (6, 6) (2, 3) (5, 4)
(0, 0) (4, 2) (6, 6) (2, 3) (7, 4)
(0, 0) (4, 2) (6, 6) (2, 3) (1, 5)
(0, 0) (4, 2) (6, 6) (2, 3) (3, 5)
(0, 0) (4, 2) (6, 6) (2, 3) (1, 7)
(0, 0) (4, 2) (6, 6) (2, 3) (3, 7)
(0, 0) (4, 2) (6, 6) (7, 3) (1, 4)
(0, 0) (4, 2) (6, 6) (7, 3) (2, 4)
(0, 0) (4, 2) (6, 6) (7, 3) (3, 4)
(0, 0) (4, 2) (6, 6) (7, 3) (5, 4)
(0, 0) (4, 2) (6, 6) (7, 3) (1, 5)
(0, 0) (4, 2) (6, 6) (7, 3) (2, 5)
(0, 0) (4, 2) (6, 6) (7, 3) (3, 5)
(0, 0) (4, 2) (6, 6) (7, 3) (1, 7)
(0, 0) (4, 2) (6, 6) (7, 3) (2, 7)
(0, 0) (4, 2) (6, 6) (7, 3) (3, 7)
(0, 0) (4, 2) (6, 6) (1, 4) (3, 5)
(0, 0) (4, 2) (6, 6) (1, 4) (2, 7)
(0, 0) (4, 2) (6, 6) (1, 4) (3, 7)
(0, 0) (4, 2) (6, 6) (2, 4) (1, 7)
(0, 0) (4, 2) (6, 6) (2, 4) (3, 7)
(0, 0) (4, 2) (6, 6) (3, 4) (1, 5)
(0, 0) (4, 2) (6, 6) (3, 4) (1, 7)
(0, 0) (4, 2) (6, 6) (3, 4) (2, 7)
(0, 0) (4, 2) (6, 6) (5, 4) (1, 5)
(0, 0) (4, 2) (6, 6) (5, 4) (2, 5)
(0, 0) (4, 2) (6, 6) (5, 4) (3, 5)
(0, 0) (4, 2) (6, 6) (5, 4) (1, 7)
(0, 0) (4, 2) (6, 6) (5, 4) (2, 7)
(0, 0) (4, 2) (6, 6) (5, 4) (3, 7)
(0, 0) (4, 2) (6, 6) (7, 4) (1, 5)
(0, 0) (4, 2) (6, 6) (7, 4) (2, 5)
(0, 0) (4, 2) (6, 6) (7, 4) (3, 5)
(0, 0) (4, 2) (6, 6) (7, 4) (1, 7)
(0, 0) (4, 2) (6, 6) (7, 4) (2, 7)
(0, 0) (4, 2) (6, 6) (7, 4) (3, 7)
(0, 0) (4, 2) (6, 6) (1, 5) (2, 7)
(0, 0) (4, 2) (6, 6) (1, 5) (3, 7)
(0, 0) (4, 2) (6, 6) (2, 5) (1, 7)
(0, 0) (4, 2) (6, 6) (2, 5) (3, 7)
(0, 0) (4, 2) (6, 6) (3, 5) (1, 7)
(0, 0) (4, 2) (6, 6) (3, 5) (2, 7)
